,X,Y,Z,grade,formation,borehole
182,330.0,1333.0,-277.0,2.064119482148059,5,31
183,330.0,1333.0,-265.4,2.064206877186802,5,31
184,330.0,1333.0,-253.79999999999998,2.064298498661016,5,31
185,330.0,1333.0,-242.2,2.064394105426554,5,31
186,330.0,1333.0,-230.6,2.064493231979972,5,31
187,330.0,1333.0,-219.0,2.0645951457326372,5,31
188,330.0,1333.0,-207.39999999999998,2.0646988075768564,5,31
189,330.0,1829.0,-242.2,2.0635026375096146,5,32
190,330.0,1829.0,-230.6,2.0635315859858756,5,32
191,330.0,1829.0,-219.0,2.063558419516655,5,32
192,330.0,1829.0,-207.39999999999998,2.0635828347643144,5,32
193,330.0,1829.0,-195.8,2.063604520688499,5,32
194,330.0,1829.0,-184.2,2.0636231648085555,5,32
195,374.0,589.0,-219.0,2.0613366649371985,5,33
196,374.0,589.0,-207.39999999999998,2.061326753279216,5,33
197,374.0,589.0,-195.8,2.061317299975045,5,33
198,374.0,589.0,-184.2,2.0613083457007066,5,33
199,418.0,775.0,-242.2,2.062025809426015,5,34
200,418.0,775.0,-230.6,2.0620257887023743,5,34
201,418.0,775.0,-219.0,2.0620255455231966,5,34
202,418.0,775.0,-207.39999999999998,2.062025078554089,5,34
203,286.0,899.0,-195.8,2.0622881922843876,5,35
204,286.0,899.0,-184.2,2.0622899176745646,5,35
205,286.0,899.0,-172.60000000000002,2.062291070365528,5,35
206,374.0,527.0,-207.39999999999998,2.0610323828709247,5,36
207,374.0,527.0,-195.8,2.0610175038998158,5,36
208,374.0,527.0,-184.2,2.061003439853565,5,36
209,418.0,589.0,-230.6,2.0613402259298392,5,37
210,418.0,589.0,-219.0,2.0613292475402414,5,37
211,418.0,589.0,-207.39999999999998,2.061318712090053,5,37
212,418.0,589.0,-195.8,2.061308666256209,5,37
213,594.0,403.0,-265.4,2.0604049669622784,5,38
214,594.0,403.0,-253.79999999999998,2.0603522873731235,5,38
215,594.0,403.0,-242.2,2.060300222785158,5,38
216,594.0,403.0,-230.6,2.0602490759677785,5,38
217,418.0,2077.0,-230.6,2.0626540081101936,5,39
218,418.0,2077.0,-219.0,2.0626630045914793,5,39
219,418.0,2077.0,-207.39999999999998,2.062670964364391,5,39
220,418.0,2077.0,-195.8,2.0626778510446284,5,39
221,462.0,589.0,-242.2,2.0613629443621226,5,40
222,462.0,589.0,-230.6,2.0613512712755595,5,40
223,462.0,589.0,-219.0,2.0613400037359098,5,40
224,594.0,465.0,-265.4,2.0608991980907425,5,41
225,594.0,465.0,-253.79999999999998,2.0608681615443563,5,41
226,594.0,465.0,-242.2,2.060837723794684,5,41
227,594.0,279.0,-265.4,2.0588641247511554,5,42
228,594.0,279.0,-253.79999999999998,2.0587202150446453,5,42
229,594.0,279.0,-242.2,2.058574878485288,5,42
230,594.0,279.0,-230.6,2.0584289411997054,5,42
231,594.0,279.0,-219.0,2.058283334285083,5,42
232,286.0,1643.0,-277.0,2.064266606000899,5,43
233,286.0,1643.0,-265.4,2.064384197214249,5,43
234,286.0,1643.0,-253.79999999999998,2.0645082486072197,5,43
235,286.0,1643.0,-242.2,2.064638531097285,5,43
236,286.0,1643.0,-230.6,2.064774583884636,5,43
237,286.0,1643.0,-219.0,2.06491566911905,5,43
238,286.0,1643.0,-207.39999999999998,2.0650607265998193,5,43
239,286.0,1643.0,-195.8,2.0652083312047793,5,43
240,286.0,1643.0,-184.2,2.0653566567083987,5,43
241,286.0,1457.0,-335.0,2.0639862659738366,5,44
242,286.0,1457.0,-323.4,2.0641023555466975,5,44
243,286.0,1457.0,-311.79999999999995,2.0642295579592793,5,44
244,286.0,1457.0,-300.2,2.064369198575384,5,44
245,286.0,1457.0,-288.6,2.064522665364389,5,44
246,286.0,1457.0,-277.0,2.064691380551987,5,44
247,286.0,1457.0,-265.4,2.064876762038292,5,44
248,286.0,1457.0,-253.79999999999998,2.065080172631623,5,44
249,286.0,1457.0,-242.2,2.0653028547077446,5,44
250,286.0,1457.0,-230.6,2.0655458472765553,5,44
251,286.0,1457.0,-219.0,2.0658098816219557,5,44
252,330.0,713.0,-207.39999999999998,2.0617712169301323,5,45
253,330.0,713.0,-195.8,2.061768349045501,5,45
254,330.0,713.0,-184.2,2.0617655088540925,5,45
255,330.0,713.0,-172.60000000000002,2.061762705905659,5,45
256,330.0,1891.0,-230.6,2.063218719063421,5,46
257,330.0,1891.0,-219.0,2.0632367940909995,5,46
258,330.0,1891.0,-207.39999999999998,2.0632529282322376,5,46
259,330.0,1891.0,-195.8,2.0632669570979156,5,46
260,330.0,1891.0,-184.2,2.0632787223396027,5,46
261,462.0,899.0,-265.4,2.062532680643704,5,47
262,462.0,899.0,-253.79999999999998,2.0625406041832868,5,47
263,462.0,899.0,-242.2,2.062547795298684,5,47
264,462.0,2263.0,-219.0,2.0622106983493156,5,48
265,462.0,2263.0,-207.39999999999998,2.0622172502682776,5,48
266,462.0,2263.0,-195.8,2.0622231715191375,5,48
267,462.0,2263.0,-184.2,2.0622284592688835,5,48
268,418.0,961.0,-265.4,2.0627081561365443,5,49
269,418.0,961.0,-253.79999999999998,2.0627189706711677,5,49
